Temps (h),WT,WT SD,KO,KO SD,KO + rescue,KO + rescue SD
0.0,0.2313,0.0466,0.3073,0.0266,0.194,0.0417
4.0,0.1123,0.0389,0.267,0.0655,0.2574,0.0742
8.0,0.3191,0.0522,0.3225,0.074,0.3075,0.0831
12.0,0.3939,0.0696,0.433,0.0511,0.387,0.0168
16.0,0.5399,0.0552,0.4232,0.0385,0.5494,0.05
20.0,0.7137,0.0792,0.5167,0.0605,0.5783,0.0666
24.0,0.8192,0.056,0.6353,0.0589,0.8526,0.0478
28.0,1.0684,0.0605,0.6949,0.0881,0.9916,0.0918
32.0,1.2073,0.0909,0.745,0.0749,1.0442,0.0362
36.0,1.5163,0.0709,0.8339,0.0639,1.2342,0.0671
40.0,1.5067,0.0499,0.7546,0.0822,1.2954,0.039
44.0,1.5713,0.0563,0.9631,0.0559,1.4462,0.0881
48.0,1.639,0.0708,0.9318,0.0415,1.398,0.0596
