log[C] (M),Réponse (%),Composé
-9.0,98.64,Inhibiteur 1
-9.0,103.28,Inhibiteur 1
-9.0,102.8,Inhibiteur 1
-8.5,93.68,Inhibiteur 1
-8.5,94.42,Inhibiteur 1
-8.5,93.62,Inhibiteur 1
-8.0,89.0,Inhibiteur 1
-8.0,86.81,Inhibiteur 1
-8.0,89.62,Inhibiteur 1
-7.5,61.82,Inhibiteur 1
-7.5,73.77,Inhibiteur 1
-7.5,67.95,Inhibiteur 1
-7.0,44.13,Inhibiteur 1
-7.0,41.27,Inhibiteur 1
-7.0,40.43,Inhibiteur 1
-6.5,22.42,Inhibiteur 1
-6.5,23.69,Inhibiteur 1
-6.5,20.09,Inhibiteur 1
-6.0,10.1,Inhibiteur 1
-6.0,13.04,Inhibiteur 1
-6.0,7.59,Inhibiteur 1
-5.5,1.56,Inhibiteur 1
-5.5,8.24,Inhibiteur 1
-5.5,4.51,Inhibiteur 1
-5.0,-1.13,Inhibiteur 1
-5.0,2.75,Inhibiteur 1
-5.0,3.96,Inhibiteur 1
-4.5,1.01,Inhibiteur 1
-4.5,-0.03,Inhibiteur 1
-4.5,5.32,Inhibiteur 1
-4.0,8.2,Inhibiteur 1
-4.0,4.24,Inhibiteur 1
-4.0,2.46,Inhibiteur 1
-9.0,97.34,Inhibiteur 2
-9.0,98.5,Inhibiteur 2
-9.0,94.94,Inhibiteur 2
-8.5,97.87,Inhibiteur 2
-8.5,99.61,Inhibiteur 2
-8.5,95.24,Inhibiteur 2
-8.0,92.95,Inhibiteur 2
-8.0,97.02,Inhibiteur 2
-8.0,96.67,Inhibiteur 2
-7.5,98.86,Inhibiteur 2
-7.5,90.52,Inhibiteur 2
-7.5,92.7,Inhibiteur 2
-7.0,88.33,Inhibiteur 2
-7.0,85.19,Inhibiteur 2
-7.0,91.7,Inhibiteur 2
-6.5,78.2,Inhibiteur 2
-6.5,73.76,Inhibiteur 2
-6.5,81.2,Inhibiteur 2
-6.0,46.11,Inhibiteur 2
-6.0,45.42,Inhibiteur 2
-6.0,44.64,Inhibiteur 2
-5.5,19.84,Inhibiteur 2
-5.5,11.83,Inhibiteur 2
-5.5,18.64,Inhibiteur 2
-5.0,9.66,Inhibiteur 2
-5.0,1.36,Inhibiteur 2
-5.0,8.77,Inhibiteur 2
-4.5,4.64,Inhibiteur 2
-4.5,8.26,Inhibiteur 2
-4.5,3.98,Inhibiteur 2
-4.0,5.04,Inhibiteur 2
-4.0,6.3,Inhibiteur 2
-4.0,2.04,Inhibiteur 2
