Sain,Tumeur,Métastase
7.11,14.998,4.012
11.939,11.088,12.348
2.708,8.104,27.547
12.923,12.872,33.045
5.922,10.83,31.791
4.221,4.783,21.311
4.215,10.183,8.454
3.716,8.573,27.432
5.47,4.232,21.602
8.804,7.701,18.475
7.868,13.936,7.432
8.063,7.84,19.945
2.822,23.906,37.399
2.983,28.051,24.755
12.173,9.314,13.612
9.356,14.945,21.928
16.159,32.982,15.703
10.427,9.186,17.485
3.815,6.723,26.371
10.787,8.738,19.358
8.027,5.177,16.383
6.664,5.249,19.849
4.183,12.364,9.451
6.057,8.765,8.476
5.662,12.623,21.107
9.04,14.42,10.866
6.398,7.24,22.096
12.344,9.905,5.037
4.269,9.506,32.74
7.478,7.631,14.717
7.572,6.958,43.682
4.1,13.112,3.405
3.555,10.205,5.553
9.546,13.234,37.186
7.636,19.116,17.253
5.623,19.256,18.896
7.224,5.98,16.922
4.464,6.885,17.303
6.735,9.574,21.843
4.608,11.799,8.422
6.586,18.469,14.152
9.429,6.494,34.958
5.192,8.669,17.541
8.868,12.627,10.707
3.799,21.669,16.651
5.313,23.537,29.874
3.274,6.339,13.884
5.782,9.81,14.072
6.268,7.069,21.249
5.536,17.569,26.52
5.363,14.095,39.005
11.057,9.054,14.506
11.481,7.876,19.473
3.501,12.965,29.912
10.261,18.9,4.869
2.786,7.228,17.192
4.347,9.226,20.927
5.595,11.73,14.961
6.36,11.133,9.318
3.776,13.274,22.613
4.371,6.361,33.932
6.262,7.947,14.943
4.428,3.473,11.724
4.533,11.366,13.833
8.165,19.858,41.268
9.201,3.556,34.047
5.888,7.787,16.25
6.099,18.069,8.05
5.997,10.191,7.258
4.931,3.887,12.988
4.806,20.965,13.048
3.792,5.031,18.695
8.099,23.43,7.897
5.825,7.992,14.692
5.687,7.474,22.056
6.621,11.188,5.604
7.681,10.89,65.54
11.467,15.337,22.679
5.349,14.532,22.005
5.05,10.162,7.117
6.621,22.814,8.447
4.135,16.32,29.853
10.725,12.815,27.558
9.178,11.874,3.54
8.267,10.46,32.541
5.733,10.563,25.011
8.439,15.89,23.454
9.705,14.308,8.036
7.576,11.267,18.731
5.334,19.265,10.984
2.834,9.543,22.624
9.264,14.01,49.917
5.161,17.685,23.788
4.139,5.968,30.022
9.032,9.533,13.208
7.044,27.601,8.516
3.195,6.512,16.175
5.786,20.773,30.48
5.359,6.154,39.835
9.456,13.778,15.478
2.578,6.139,18.795
5.086,7.854,12.558
5.685,8.967,5.552
11.456,8.151,16.958
3.715,19.196,19.944
1.611,17.434,12.448
3.245,17.788,14.459
6.81,12.261,5.281
8.709,27.118,16.671
13.198,19.411,37.865
7.246,13.179,15.869
4.216,6.191,23.277
9.007,16.071,21.192
6.02,15.779,10.075
5.527,11.61,18.336
6.098,16.315,9.7
10.736,16.835,97.937
4.032,9.354,18.289
3.816,15.043,8.207
5.871,13.342,6.228
5.871,13.095,40.538
4.193,9.134,23.549
4.072,8.545,20.581
7.17,11.766,6.932
11.046,24.226,11.364
8.338,39.618,7.594
8.234,8.994,31.763
10.597,6.173,11.635
2.47,9.135,53.022
3.066,6.963,22.185
4.404,8.764,13.184
3.533,13.711,36.896
3.876,6.667,4.391
6.243,15.409,9.61
3.394,17.036,12.547
4.955,25.382,31.172
2.412,29.982,31.323
3.903,19.083,20.056
11.084,38.358,5.36
4.738,8.375,11.596
7.0,12.834,8.126
8.32,12.117,34.841
4.851,14.035,12.242
7.851,19.366,23.162
6.663,9.228,50.752
8.28,28.286,15.361
4.545,22.238,24.791
3.164,13.386,12.683
3.819,14.288,16.561
4.713,6.489,16.514
7.699,2.824,16.234
5.518,10.543,16.784
5.056,13.173,12.606
5.58,12.547,51.138
9.923,6.053,10.76
4.669,8.644,18.734
11.942,29.009,13.376
3.482,16.526,3.963
4.634,15.539,29.334
8.888,9.352,18.532
7.637,16.622,6.854
4.117,22.439,10.22
5.76,16.802,5.904
4.397,8.88,19.129
8.873,12.966,42.156
7.713,6.853,34.059
4.389,9.389,7.18
7.234,15.342,5.501
5.128,8.283,22.18
5.857,9.781,45.386
6.228,24.337,16.482
4.694,10.128,30.606
7.325,16.887,6.726
7.442,9.424,14.885
7.328,5.964,20.951
9.945,11.135,12.349
5.353,9.126,13.838
3.104,3.702,24.322
4.855,5.76,10.804
6.622,8.83,8.591
6.11,24.882,25.249
7.849,8.118,18.474
8.696,10.919,8.564
5.738,15.672,20.77
5.757,13.027,11.209
3.879,9.239,23.59
9.63,28.127,15.779
5.372,23.09,13.278
3.715,2.934,9.821
3.664,18.773,17.97
5.02,14.954,15.407
12.182,18.969,51.221
8.565,11.668,15.419
2.823,17.437,6.872
5.722,31.813,57.155
6.813,28.28,4.477
8.02,29.507,44.085
7.061,19.747,9.276
4.534,18.394,37.444
7.282,18.585,14.113
4.714,6.038,22.15
2.207,38.412,16.111
4.397,12.656,14.763
4.443,13.273,21.827
9.292,11.869,10.608
9.73,14.398,21.241
3.78,3.495,8.078
6.542,12.604,10.028
6.3,5.57,11.514
3.171,6.492,14.832
2.401,4.03,33.493
5.802,4.353,9.385
6.433,15.299,9.243
4.629,8.504,7.845
1.786,10.496,12.237
5.97,10.112,22.294
4.663,5.89,9.902
4.054,7.538,13.11
5.228,5.576,10.914
3.641,9.357,16.556
