Génotype,Temps,Activité
WT,0 h,89.27
WT,0 h,92.98
WT,0 h,102.95
WT,0 h,96.07
WT,0 h,103.94
WT,0 h,106.05
WT,0 h,89.17
WT,0 h,107.63
WT,6 h,77.53
WT,6 h,97.71
WT,6 h,87.47
WT,6 h,77.96
WT,6 h,83.51
WT,6 h,83.61
WT,6 h,84.47
WT,6 h,92.45
WT,24 h,59.0
WT,24 h,67.45
WT,24 h,59.76
WT,24 h,53.67
WT,24 h,43.57
WT,24 h,43.3
WT,24 h,56.54
WT,24 h,60.18
Mutant,0 h,82.82
Mutant,0 h,67.4
Mutant,0 h,72.58
Mutant,0 h,65.9
Mutant,0 h,68.83
Mutant,0 h,54.9
Mutant,0 h,77.54
Mutant,0 h,66.58
Mutant,6 h,58.49
Mutant,6 h,62.38
Mutant,6 h,61.58
Mutant,6 h,49.18
Mutant,6 h,70.43
Mutant,6 h,64.72
Mutant,6 h,62.79
Mutant,6 h,54.09
Mutant,24 h,27.57
Mutant,24 h,27.37
Mutant,24 h,38.04
Mutant,24 h,40.81
Mutant,24 h,34.32
Mutant,24 h,53.32
Mutant,24 h,41.86
Mutant,24 h,47.09
